From Date,To Date,PM10,PM2.5,CO,Ozone,NO2
01-01-2023 00:00,01-01-2023 01:00,174.0,134.0,0.88,4.47,29.93
01-01-2023 01:00,01-01-2023 02:00,138.0,112.0,0.8,3.8,26.42
01-01-2023 02:00,01-01-2023 03:00,134.0,103.0,0.8,3.1,31.7
01-01-2023 03:00,01-01-2023 04:00,139.0,114.0,0.93,2.6,29.1
01-01-2023 04:00,01-01-2023 05:00,169.0,136.0,1.0,2.78,25.9
01-01-2023 05:00,01-01-2023 06:00,182.0,145.0,1.1,2.65,27.05
01-01-2023 06:00,01-01-2023 07:00,238.0,200.0,1.0,2.98,29.7
01-01-2023 07:00,01-01-2023 08:00,212.0,168.0,1.0,2.83,30.2
01-01-2023 08:00,01-01-2023 09:00,193.0,143.0,1.05,5.28,31.77
01-01-2023 09:00,01-01-2023 10:00,208.0,169.0,0.97,16.8,41.97
01-01-2023 10:00,01-01-2023 11:00,175.0,127.0,0.75,45.38,22.08
01-01-2023 11:00,01-01-2023 12:00,163.0,114.0,0.7,61.2,18.62
01-01-2023 12:00,01-01-2023 13:00,178.0,127.0,0.67,74.7,16.68
01-01-2023 13:00,01-01-2023 14:00,154.0,112.0,0.57,87.78,12.25
01-01-2023 14:00,01-01-2023 15:00,124.0,90.0,0.62,90.88,10.03
01-01-2023 15:00,01-01-2023 16:00,124.0,90.0,0.6,90.1,9.3
01-01-2023 16:00,01-01-2023 17:00,105.0,72.0,0.6,87.32,9.8
01-01-2023 17:00,01-01-2023 18:00,108.0,74.0,0.62,65.27,12.8
01-01-2023 18:00,01-01-2023 19:00,108.0,80.0,0.83,41.38,17.25
01-01-2023 19:00,01-01-2023 20:00,151.0,132.0,1.17,21.62,26.33
01-01-2023 20:00,01-01-2023 21:00,227.0,219.0,1.1,12.45,26.1
01-01-2023 21:00,01-01-2023 22:00,255.0,210.0,1.33,3.25,35.2
01-01-2023 22:00,01-01-2023 23:00,,,,,
01-01-2023 23:00,02-01-2023 00:00,,,,,
02-01-2023 00:00,02-01-2023 01:00,,,,,
02-01-2023 01:00,02-01-2023 02:00,,,,,
02-01-2023 02:00,02-01-2023 03:00,,,,,
02-01-2023 03:00,02-01-2023 04:00,,,,,
02-01-2023 04:00,02-01-2023 05:00,,,,,
02-01-2023 05:00,02-01-2023 06:00,,,,,
02-01-2023 06:00,02-01-2023 07:00,,,,,
02-01-2023 07:00,02-01-2023 08:00,,,,,
02-01-2023 08:00,02-01-2023 09:00,,,,,
02-01-2023 09:00,02-01-2023 10:00,,,,,
02-01-2023 10:00,02-01-2023 11:00,,,,,
02-01-2023 11:00,02-01-2023 12:00,,,,,22.75
02-01-2023 12:00,02-01-2023 13:00,201.0,193.0,,,14.8
02-01-2023 13:00,02-01-2023 14:00,193.0,186.0,1.57,45.3,13.68
02-01-2023 14:00,02-01-2023 15:00,199.0,193.0,0.75,52.33,15.4
02-01-2023 15:00,02-01-2023 16:00,217.0,202.0,0.78,54.62,15.97
02-01-2023 16:00,02-01-2023 17:00,233.0,210.0,0.67,45.82,16.8
02-01-2023 17:00,02-01-2023 18:00,243.0,216.0,0.68,22.72,18.23
02-01-2023 18:00,02-01-2023 19:00,228.0,200.0,0.65,10.18,19.12
02-01-2023 19:00,02-01-2023 20:00,208.0,166.0,0.6,6.42,18.3
02-01-2023 20:00,02-01-2023 21:00,221.0,164.0,1.12,3.08,22.38
02-01-2023 21:00,02-01-2023 22:00,274.0,194.0,1.17,2.45,23.45
02-01-2023 22:00,02-01-2023 23:00,283.0,194.0,1.1,2.43,24.05
02-01-2023 23:00,03-01-2023 00:00,306.0,202.0,1.1,2.2,26.12
03-01-2023 00:00,03-01-2023 01:00,327.0,211.0,1.2,2.55,28.63
03-01-2023 01:00,03-01-2023 02:00,370.0,249.0,1.1,5.0,31.95
03-01-2023 02:00,03-01-2023 03:00,349.0,237.0,0.9,4.72,33.8
03-01-2023 03:00,03-01-2023 04:00,302.0,195.0,0.85,15.03,24.6
03-01-2023 04:00,03-01-2023 05:00,239.0,163.0,0.9,28.9,16.92
03-01-2023 05:00,03-01-2023 06:00,240.0,185.0,0.97,33.05,14.75
03-01-2023 06:00,03-01-2023 07:00,257.0,197.0,1.45,35.9,13.68
03-01-2023 07:00,03-01-2023 08:00,241.0,194.0,1.57,37.15,13.07
03-01-2023 08:00,03-01-2023 09:00,244.0,197.0,0.93,36.65,13.12
03-01-2023 09:00,03-01-2023 10:00,239.0,200.0,1.08,35.25,17.1
03-01-2023 10:00,03-01-2023 11:00,268.0,221.0,1.27,37.08,16.7
03-01-2023 11:00,03-01-2023 12:00,280.0,233.0,1.5,38.85,18.95
03-01-2023 12:00,03-01-2023 13:00,312.0,252.0,1.75,43.35,21.05
03-01-2023 13:00,03-01-2023 14:00,332.0,260.0,1.9,53.42,20.93
